fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,target,pH_normalized,sulfate_to_chloride_ratio,density_deviation
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.19999999999999973,0.5204460966542751,0.0021999999999999797
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0.10999999999999988,0.6193078324225865,0.0031999999999999806
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0.050000000000000266,0.5952380952380952,0.0030000000000000027
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,0.1499999999999999,0.5395348837209302,0.0020000000000000018
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.19999999999999973,0.5204460966542751,0.0021999999999999797
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0.19999999999999973,0.5209302325581396,0.0021999999999999797
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0.010000000000000231,0.4303086997193639,0.0036000000000000476
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,0.08000000000000007,0.4413145539906103,0.00539999999999996
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,0.04999999999999982,0.5312208760484622,0.0031999999999999806
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.040000000000000036,0.7469654528478059,0.0021999999999999797
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,0.03000000000000025,0.4922515952597995,0.0040999999999999925
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.040000000000000036,0.7469654528478059,0.0021999999999999797
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,0.27,0.4775022956841139,0.005700000000000038
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0.050000000000000266,1.400359066427289,0.0026000000000000467
