fixed acidity,volatile acidity,sulphates,alcohol,target,sulfate_to_chloride_ratio
7.4,0.7,0.56,9.4,5,0.5204460966542751
7.8,0.88,0.68,9.8,5,0.6193078324225865
7.8,0.76,0.65,9.8,5,0.5952380952380952
11.2,0.28,0.58,9.8,6,0.5395348837209302
7.4,0.7,0.56,9.4,5,0.5204460966542751
7.4,0.66,0.56,9.4,5,0.5209302325581396
7.9,0.6,0.46,9.4,5,0.4303086997193639
7.3,0.65,0.47,10.0,7,0.4413145539906103
7.8,0.58,0.57,9.5,7,0.5312208760484622
7.5,0.5,0.8,10.5,5,0.7469654528478059
6.7,0.58,0.54,9.2,5,0.4922515952597995
7.5,0.5,0.8,10.5,5,0.7469654528478059
5.6,0.615,0.52,9.9,5,0.4775022956841139
7.8,0.61,1.56,9.1,5,1.400359066427289
8.9,0.62,0.88,9.2,5,0.7482993197278912
8.9,0.62,0.93,9.2,5,0.7948717948717949
8.5,0.28,0.75,10.5,7,0.6868131868131868
8.1,0.56,1.28,9.3,5,0.9356725146198831
7.4,0.59,0.5,9.0,4,0.4604051565377532
7.9,0.32,1.08,9.2,6,0.8053691275167786
8.9,0.22,0.53,9.4,6,0.4921077065923863
7.6,0.39,0.65,9.7,5,0.6007393715341959
7.9,0.43,0.91,9.5,5,0.8227848101265822
8.5,0.49,0.53,9.4,5,0.488929889298893
6.9,0.4,0.63,9.7,6,0.5806451612903226
6.3,0.39,0.56,9.3,5,0.5185185185185185
7.6,0.41,0.59,9.5,5,0.5462962962962963
7.9,0.43,0.91,9.5,5,0.8227848101265822
7.1,0.71,0.55,9.4,5,0.5092592592592593
7.8,0.645,0.59,9.8,6,0.5452865064695008
6.7,0.675,0.54,10.1,5,0.4958677685950414
6.9,0.685,0.57,10.6,6,0.5158371040723981
8.3,0.655,0.66,9.8,5,0.6094182825484765
6.9,0.605,0.52,9.4,6,0.4846225535880709
5.2,0.32,0.55,9.2,5,0.49864007252946513
7.8,0.645,0.55,9.6,6,0.5064456721915286
7.8,0.6,0.6,10.8,6,0.5524861878453038
8.1,0.38,0.73,9.7,7,0.6848030018761726
5.7,1.13,0.48,9.8,4,0.40955631399317405
7.3,0.45,0.83,10.5,5,0.7728119180633146
7.3,0.45,0.83,10.5,5,0.7728119180633146
8.8,0.61,0.51,9.3,4,0.46875
7.5,0.49,0.9,10.5,6,0.6756756756756757
8.1,0.66,1.2,10.3,5,1.1225444340505144
6.8,0.67,0.52,9.5,5,0.49523809523809526
4.6,0.52,0.56,13.1,4,0.5313092979127135
7.7,0.935,0.73,9.2,5,0.6552962298025133
8.7,0.29,0.58,9.5,5,0.5211141060197664
6.4,0.4,0.56,9.2,5,0.525328330206379
5.6,0.31,0.58,9.2,5,0.5400372439478583
8.8,0.66,0.74,9.2,5,0.6890130353817504
6.6,0.52,0.63,9.4,6,0.5893358278765202
6.6,0.5,0.64,9.4,6,0.599250936329588
8.6,0.38,0.56,9.4,5,0.5180388529139686
7.6,0.51,0.63,10.2,6,0.5675675675675675
7.7,0.62,0.53,9.5,5,0.488929889298893
10.2,0.42,0.63,9.6,5,0.5887850467289719
7.5,0.63,0.77,9.4,5,0.6930693069306931
7.8,0.59,0.59,10.0,5,0.5483271375464683
7.3,0.39,0.54,9.4,6,0.5027932960893855
8.8,0.4,0.64,9.2,5,0.5931417979610751
7.7,0.69,0.71,9.3,5,0.6367713004484304
7.5,0.52,0.62,9.5,7,0.5714285714285714
7.0,0.735,0.57,9.8,5,0.5272895467160037
7.2,0.725,0.39,10.9,5,0.3591160220994475
7.2,0.725,0.39,10.9,5,0.3591160220994475
7.5,0.52,0.58,9.6,5,0.5375347544022243
6.6,0.705,0.58,10.7,5,0.5390334572490706
9.3,0.32,0.79,10.7,5,0.7355679702048417
8.0,0.705,0.95,10.5,6,0.8845437616387336
7.7,0.63,0.54,9.5,6,0.5018587360594795
7.7,0.67,0.48,9.5,5,0.4411764705882352
7.7,0.69,0.48,9.5,5,0.4428044280442804
8.3,0.675,0.53,9.2,4,0.488929889298893
9.7,0.32,0.82,9.6,5,0.749542961608775
8.8,0.41,0.66,10.5,5,0.6038426349496798
8.8,0.41,0.66,10.5,5,0.6038426349496798
6.8,0.785,0.55,10.7,6,0.49818840579710144
6.7,0.75,0.52,10.1,5,0.47882136279926335
8.3,0.625,1.12,9.1,4,1.037037037037037
6.2,0.45,0.56,9.2,5,0.5238540692235735
7.8,0.43,1.28,9.4,5,0.8743169398907105
7.4,0.5,0.57,9.1,5,0.5248618784530386
7.3,0.67,1.14,9.4,5,0.8137044967880085
6.3,0.3,0.78,10.3,6,0.7296538821328344
6.9,0.55,0.59,10.1,5,0.5483271375464683
8.6,0.49,1.95,9.9,6,1.7567567567567566
7.7,0.49,0.64,9.6,5,0.6026365348399246
9.3,0.39,1.22,9.5,5,1.1020776874435412
7.0,0.62,0.53,9.0,5,0.49256505576208176
7.9,0.52,0.54,9.5,5,0.5004633920296572
8.6,0.49,1.95,9.9,6,1.7567567567567566
8.6,0.49,1.98,9.8,5,1.7837837837837835
7.7,0.49,0.64,9.6,5,0.6026365348399246
5.0,1.02,0.48,10.5,4,0.45933014354066987
4.7,0.6,0.6,12.9,6,0.5671077504725898
6.8,0.775,0.56,10.7,5,0.5081669691470054
7.0,0.5,0.63,9.2,5,0.5887850467289719
7.6,0.9,0.56,9.8,5,0.5189990732159407
8.1,0.545,0.59,9.0,6,0.5462962962962963
8.3,0.61,0.61,10.2,6,0.562730627306273
7.8,0.5,0.56,10.4,6,0.5209302325581396
8.1,0.545,0.59,9.0,6,0.5462962962962963
8.1,0.575,0.51,9.2,5,0.4735376044568245
7.2,0.49,0.48,9.4,5,0.44859813084112143
8.1,0.575,0.51,9.2,5,0.4735376044568245
7.8,0.41,1.31,9.3,5,0.8929788684389911
6.2,0.63,0.79,9.3,5,0.7261029411764706
8.0,0.33,0.8,9.6,6,0.7332722273143906
8.1,0.785,0.69,9.3,5,0.6149732620320856
7.8,0.56,0.93,9.5,5,0.842391304347826
8.4,0.62,0.66,9.8,5,0.6088560885608856
8.4,0.6,0.66,9.8,5,0.6082949308755761
10.1,0.31,0.67,9.7,6,0.6203703703703703
7.8,0.56,0.93,9.5,5,0.842391304347826
9.4,0.4,0.63,10.5,6,0.5779816513761468
8.3,0.54,0.61,10.0,6,0.5663881151346333
7.8,0.56,0.5,9.4,6,0.4621072088724584
8.8,0.55,0.6,10.9,6,0.5361930294906166
7.0,0.69,0.54,9.2,6,0.4922515952597995
7.3,1.07,0.57,9.0,5,0.48387096774193544
8.8,0.55,0.6,10.9,6,0.5361930294906166
7.3,0.695,0.52,9.2,5,0.4837209302325582
8.0,0.71,0.53,9.5,5,0.49074074074074076
7.8,0.5,0.48,9.5,5,0.44362292051756
9.0,0.62,0.7,9.4,5,0.6108202443280978
8.2,1.33,0.49,10.9,5,0.4532839962997225
8.1,1.33,0.48,10.9,5,0.44362292051756
8.0,0.59,0.92,10.5,7,0.863849765258216
6.1,0.38,0.57,9.4,5,0.5317164179104477
8.0,0.745,0.66,9.4,5,0.5903398926654742
5.6,0.5,0.63,13.0,5,0.6005719733079123
5.6,0.5,0.63,13.0,5,0.6005719733079123
6.6,0.5,0.58,9.8,6,0.5471698113207547
7.9,1.04,0.55,9.9,6,0.507380073800738
8.4,0.745,0.82,9.6,5,0.7522935779816513
8.3,0.715,0.77,9.5,5,0.7070707070707071
7.2,0.415,0.64,9.2,5,0.5920444033302498
7.8,0.56,0.54,9.5,5,0.4995374653098983
7.8,0.56,0.54,9.5,5,0.4995374653098983
8.4,0.745,0.82,9.6,5,0.7522935779816513
8.3,0.715,0.77,9.5,5,0.7070707070707071
5.2,0.34,0.79,14.0,6,0.7523809523809524
6.3,0.39,0.58,9.4,5,0.5440900562851781
5.2,0.34,0.79,14.0,6,0.7523809523809524
8.1,0.67,0.62,9.4,5,0.5550581915846016
