volatile acidity,chlorides,density,sulphates,alcohol,target
0.7,0.076,0.9978,0.56,9.4,5
0.88,0.098,0.9968,0.68,9.8,5
0.76,0.092,0.997,0.65,9.8,5
0.28,0.075,0.998,0.58,9.8,6
0.7,0.076,0.9978,0.56,9.4,5
0.66,0.075,0.9978,0.56,9.4,5
0.6,0.069,0.9964,0.46,9.4,5
0.65,0.065,0.9946,0.47,10.0,7
0.58,0.073,0.9968,0.57,9.5,7
0.5,0.071,0.9978,0.8,10.5,5
0.58,0.097,0.9959,0.54,9.2,5
0.5,0.071,0.9978,0.8,10.5,5
0.615,0.089,0.9943,0.52,9.9,5
0.61,0.114,0.9974,1.56,9.1,5
0.62,0.176,0.9986,0.88,9.2,5
0.62,0.17,0.9986,0.93,9.2,5
0.28,0.092,0.9969,0.75,10.5,7
0.56,0.368,0.9968,1.28,9.3,5
0.59,0.086,0.9974,0.5,9.0,4
0.32,0.341,0.9969,1.08,9.2,6
0.22,0.077,0.9968,0.53,9.4,6
0.39,0.082,0.9982,0.65,9.7,5
0.43,0.106,0.9966,0.91,9.5,5
0.49,0.084,0.9968,0.53,9.4,5
0.4,0.085,0.9968,0.63,9.7,6
0.39,0.08,0.9955,0.56,9.3,5
0.41,0.08,0.9962,0.59,9.5,5
0.43,0.106,0.9966,0.91,9.5,5
0.71,0.08,0.9972,0.55,9.4,5
0.645,0.082,0.9964,0.59,9.8,6
0.675,0.089,0.9958,0.54,10.1,5
0.685,0.105,0.9966,0.57,10.6,6
0.655,0.083,0.9966,0.66,9.8,5
0.605,0.073,0.9993,0.52,9.4,6
0.32,0.103,0.9957,0.55,9.2,5
0.645,0.086,0.9986,0.55,9.6,6
0.6,0.086,0.9975,0.6,10.8,6
0.38,0.066,0.9968,0.73,9.7,7
1.13,0.172,0.994,0.48,9.8,4
0.45,0.074,0.9978,0.83,10.5,5
0.45,0.074,0.9978,0.83,10.5,5
0.61,0.088,0.9976,0.51,9.3,4
0.49,0.332,0.9968,0.9,10.5,6
0.66,0.069,0.9968,1.2,10.3,5
0.67,0.05,0.9962,0.52,9.5,5
0.52,0.054,0.9934,0.56,13.1,4
0.935,0.114,0.997,0.73,9.2,5
0.29,0.113,0.9969,0.58,9.5,5
0.4,0.066,0.9958,0.56,9.2,5
0.31,0.074,0.9954,0.58,9.2,5
0.66,0.074,0.9971,0.74,9.2,5
0.52,0.069,0.9956,0.63,9.4,6
0.5,0.068,0.9955,0.64,9.4,6
0.38,0.081,0.997,0.56,9.4,5
0.51,0.11,0.9955,0.63,10.2,6
0.62,0.084,0.9978,0.53,9.5,5
0.42,0.07,0.9971,0.63,9.6,5
0.63,0.111,0.9983,0.77,9.4,5
0.59,0.076,0.9975,0.59,10.0,5
0.39,0.074,0.9962,0.54,9.4,6
0.4,0.079,0.998,0.64,9.2,5
0.69,0.115,0.9968,0.71,9.3,5
0.52,0.085,0.9968,0.62,9.5,7
0.735,0.081,0.9966,0.57,9.8,5
0.725,0.086,0.9962,0.39,10.9,5
0.725,0.086,0.9962,0.39,10.9,5
0.52,0.079,0.9968,0.58,9.6,5
0.705,0.076,0.9962,0.58,10.7,5
0.32,0.074,0.9969,0.79,10.7,5
0.705,0.074,0.9962,0.95,10.5,6
0.63,0.076,0.9967,0.54,9.5,6
0.67,0.088,0.9962,0.48,9.5,5
0.69,0.084,0.9961,0.48,9.5,5
0.675,0.084,0.9976,0.53,9.2,4
0.32,0.094,0.9984,0.82,9.6,5
0.41,0.093,0.9986,0.66,10.5,5
0.41,0.093,0.9986,0.66,10.5,5
0.785,0.104,0.9966,0.55,10.7,6
0.75,0.086,0.9958,0.52,10.1,5
0.625,0.08,0.9972,1.12,9.1,4
0.45,0.069,0.9958,0.56,9.2,5
0.43,0.464,0.9974,1.28,9.4,5
0.5,0.086,0.997,0.57,9.1,5
0.67,0.401,0.9969,1.14,9.4,5
0.3,0.069,0.9959,0.78,10.3,6
0.55,0.076,0.9961,0.59,10.1,5
0.49,0.11,0.9972,1.95,9.9,6
0.49,0.062,0.9966,0.64,9.6,5
0.39,0.107,0.9978,1.22,9.5,5
0.62,0.076,0.9978,0.53,9.0,5
0.52,0.079,0.9964,0.54,9.5,5
0.49,0.11,0.9972,1.95,9.9,6
0.49,0.11,0.9972,1.98,9.8,5
0.49,0.062,0.9966,0.64,9.6,5
1.02,0.045,0.9938,0.48,10.5,4
0.6,0.058,0.9932,0.6,12.9,6
0.775,0.102,0.9965,0.56,10.7,5
0.5,0.07,0.9963,0.63,9.2,5
0.9,0.079,0.9967,0.56,9.8,5
0.545,0.08,0.9972,0.59,9.0,6
0.61,0.084,0.9972,0.61,10.2,6
0.5,0.075,0.9959,0.56,10.4,6
0.545,0.08,0.9972,0.59,9.0,6
0.575,0.077,0.9967,0.51,9.2,5
0.49,0.07,0.996,0.48,9.4,5
0.575,0.077,0.9967,0.51,9.2,5
0.41,0.467,0.9973,1.31,9.3,5
0.63,0.088,0.9969,0.79,9.3,5
0.33,0.091,0.9976,0.8,9.6,6
0.785,0.122,0.9969,0.69,9.3,5
0.56,0.104,0.9964,0.93,9.5,5
0.62,0.084,0.9964,0.66,9.8,5
0.6,0.085,0.9964,0.66,9.8,5
0.31,0.08,0.9988,0.67,9.7,6
0.56,0.104,0.9964,0.93,9.5,5
0.4,0.09,0.9966,0.63,10.5,6
0.54,0.077,0.9978,0.61,10.0,6
0.56,0.082,0.997,0.5,9.4,6
0.55,0.119,0.9962,0.6,10.9,6
0.69,0.097,0.9959,0.54,9.2,6
1.07,0.178,0.9962,0.57,9.0,5
0.55,0.119,0.9962,0.6,10.9,6
0.695,0.075,0.998,0.52,9.2,5
0.71,0.08,0.9976,0.53,9.5,5
0.5,0.082,0.996,0.48,9.5,5
0.62,0.146,0.9984,0.7,9.4,5
1.33,0.081,0.9964,0.49,10.9,5
1.33,0.082,0.9964,0.48,10.9,5
0.59,0.065,0.9962,0.92,10.5,7
0.38,0.072,0.9955,0.57,9.4,5
0.745,0.118,0.9968,0.66,9.4,5
0.5,0.049,0.9937,0.63,13.0,5
0.5,0.049,0.9937,0.63,13.0,5
0.5,0.06,0.9952,0.58,9.8,6
1.04,0.084,0.9959,0.55,9.9,6
0.745,0.09,0.9965,0.82,9.6,5
0.715,0.089,0.9968,0.77,9.5,5
0.415,0.081,0.9972,0.64,9.2,5
0.56,0.081,0.9962,0.54,9.5,5
0.56,0.081,0.9962,0.54,9.5,5
0.745,0.09,0.9965,0.82,9.6,5
0.715,0.089,0.9968,0.77,9.5,5
0.34,0.05,0.9916,0.79,14.0,6
0.39,0.066,0.9954,0.58,9.4,5
0.34,0.05,0.9916,0.79,14.0,6
0.67,0.117,0.9968,0.62,9.4,5
0.68,0.087,0.9944,0.52,10.0,5
0.49,0.236,0.9968,0.8,9.3,5
0.49,0.074,0.9959,0.58,10.2,6
0.4,0.089,0.9975,0.61,10.5,6
0.33,0.077,0.9958,0.53,10.3,6
0.52,0.61,0.9996,2.0,9.4,4
0.6,0.095,0.995,0.54,10.1,5
0.6,0.095,0.995,0.54,10.1,5
0.43,0.07,0.9973,0.72,10.5,5
0.43,0.071,0.9973,0.71,10.5,5
0.43,0.07,0.9973,0.72,10.5,5
0.43,0.071,0.9973,0.71,10.5,5
0.68,0.073,0.9969,0.5,9.3,5
0.6,0.079,0.9968,0.57,9.3,6
0.95,0.09,0.9959,0.56,9.6,5
0.68,0.072,0.9965,1.08,9.2,4
0.53,0.076,0.9964,0.56,10.0,6
0.6,0.07,0.9982,0.49,9.4,5
0.59,0.07,0.9981,0.49,9.4,5
0.63,0.1,0.9961,0.62,9.5,5
0.64,0.085,0.9956,0.52,10.2,5
0.55,0.072,0.9956,0.48,9.0,4
0.63,0.089,0.9953,0.55,10.4,6
0.705,0.36,0.9964,1.59,9.5,5
0.885,0.058,0.9972,0.33,9.1,4
0.42,0.073,0.9972,0.61,9.2,6
0.42,0.073,0.9972,0.61,9.2,6
0.62,0.068,0.9961,0.57,11.5,6
0.38,0.08,0.9961,0.47,9.5,5
0.5,0.085,0.9958,0.78,9.5,5
0.38,0.08,0.9961,0.47,9.5,5
0.52,0.087,0.9972,0.61,10.5,6
0.805,0.068,0.9969,0.56,9.6,5
0.61,0.067,0.9969,0.59,9.5,5
0.61,0.067,0.9969,0.59,9.5,5
0.61,0.27,0.9972,1.02,9.3,5
0.73,0.076,0.9972,0.52,9.3,5
0.61,0.077,0.9971,0.58,9.3,5
0.62,0.079,0.997,0.58,9.3,6
0.31,0.111,0.9971,0.53,9.7,5
0.39,0.082,0.9972,0.55,9.2,5
0.705,0.084,0.9976,0.49,9.7,5
0.5,0.084,0.9968,0.55,9.5,5
0.49,0.082,0.9968,0.55,9.5,5
0.5,0.077,0.9976,0.62,9.4,5
0.37,0.074,0.9974,0.62,9.8,6
0.63,0.099,0.9969,0.61,9.5,5
0.55,0.071,0.9964,0.55,9.7,5
0.55,0.071,0.9964,0.55,9.7,5
0.59,0.074,0.9968,0.54,9.4,5
0.58,0.074,0.9968,0.59,10.2,5
0.3,0.067,0.9981,0.97,10.1,6
0.835,0.046,0.9924,0.85,13.0,7
1.09,0.061,0.9948,0.43,11.4,4
0.32,0.056,0.99695,0.82,10.3,7
0.37,0.097,0.9975,1.03,9.3,5
0.5,0.075,0.99545,0.79,9.5,5
0.42,0.088,0.9961,0.55,9.2,5
0.43,0.089,0.99615,0.56,9.2,6
0.3,0.095,0.9994,0.77,10.8,7
0.3,0.095,0.9994,0.77,10.8,7
0.57,0.069,0.99625,0.53,9.3,5
0.44,0.1,0.9966,0.67,9.4,5
0.3,0.054,0.998,0.88,10.5,7
0.53,0.039,0.99585,0.86,12.4,6
0.725,0.083,0.99685,0.56,10.0,6
0.44,0.059,0.998,0.67,10.2,6
0.57,0.06,0.9959,0.43,10.1,5
0.735,0.092,0.9974,0.71,9.8,6
0.49,0.06,0.9974,0.76,10.5,5
0.625,0.101,0.9962,0.57,11.0,5
0.725,0.072,0.9967,0.55,9.1,5
0.49,0.076,0.9957,0.54,9.7,5
0.53,0.08,0.99655,0.6,9.5,5
0.34,0.082,0.9964,0.59,9.4,6
0.53,0.101,0.9957,0.57,9.4,5
0.61,0.057,0.99525,0.6,9.5,5
0.645,0.083,0.99815,0.6,10.0,6
0.635,0.089,0.99745,0.57,10.4,4
0.43,0.073,0.99615,0.58,10.5,6
0.59,0.337,0.9964,1.61,9.5,6
0.82,0.089,0.9984,0.63,9.8,5
0.43,0.073,0.99615,0.58,10.5,6
0.52,0.081,0.99685,0.5,11.0,5
0.48,0.054,0.9927,0.62,12.2,7
0.38,0.078,0.99625,0.52,9.9,6
0.37,0.09,0.998,0.7,9.6,6
0.52,0.081,0.99685,0.5,11.0,5
1.0,0.065,0.99685,0.55,9.0,6
0.63,0.097,0.99675,0.58,9.0,6
0.63,0.097,0.99675,0.58,9.0,6
0.645,0.097,0.99675,0.58,9.2,6
0.63,0.097,0.99675,0.58,9.0,6
1.0,0.065,0.99685,0.55,9.0,6
0.635,0.263,0.9971,1.09,9.3,5
0.38,0.093,0.99925,0.71,10.9,6
0.58,0.102,0.99565,0.49,9.8,6
0.21,0.075,1.00005,0.84,9.2,7
0.21,0.075,1.00005,0.84,9.2,7
0.66,0.084,0.9983,0.96,9.9,6
0.68,0.075,0.99685,0.52,9.5,5
0.6,0.072,0.9963,0.45,9.3,5
0.53,0.074,0.99615,0.48,9.8,6
0.66,0.084,0.9983,0.96,9.9,6
0.32,0.063,0.9985,0.78,10.0,6
0.6,0.074,0.9972,0.7,9.9,6
0.35,0.09,0.9986,0.53,10.5,5
0.775,0.092,0.9959,0.59,9.5,5
0.6,0.074,0.9972,0.7,9.9,6
0.57,0.073,0.99675,0.57,9.3,5
0.34,0.075,0.998,0.62,9.2,5
0.695,0.075,0.9968,0.67,9.2,5
0.41,0.611,0.9968,1.26,9.4,5
0.31,0.085,0.99965,0.8,10.5,7
0.33,0.077,0.99625,0.65,9.3,5
0.975,0.087,0.99565,0.6,9.4,4
0.52,0.07,0.99575,0.57,10.0,5
0.37,0.077,0.9963,0.67,9.3,5
0.56,0.064,0.9999,0.87,10.9,5
0.26,0.071,0.9968,0.72,10.2,7
0.87,0.096,1.00025,0.72,9.8,4
0.35,0.078,0.9973,0.86,12.8,8
0.54,0.077,0.9987,0.91,9.4,6
0.18,0.104,0.9996,0.97,10.1,6
0.545,0.087,0.9965,0.67,10.7,6
0.18,0.104,0.9996,0.97,10.1,6
0.37,0.071,0.99935,0.78,10.1,5
0.715,0.076,0.99735,0.64,9.4,5
0.65,0.088,0.99915,0.77,9.4,5
0.545,0.087,0.9965,0.67,10.7,6
0.54,0.077,0.9987,0.91,9.4,6
0.18,0.104,0.9996,0.97,10.1,6
0.32,0.073,0.9976,0.82,12.6,8
0.4,0.087,0.9991,0.77,10.5,7
0.26,0.071,0.9986,0.82,9.3,6
0.27,0.358,0.9972,1.08,9.9,7
0.52,0.067,0.9971,0.57,9.1,5
0.4,0.087,0.9991,0.77,10.5,7
0.59,0.102,1.00015,0.71,9.8,5
0.59,0.102,1.00015,0.71,9.8,5
0.45,0.073,0.9997,0.76,10.3,6
0.4,0.092,0.9967,0.7,10.3,6
0.52,0.091,0.9976,0.86,10.6,7
0.42,0.105,1.001,0.95,9.2,5
0.52,0.091,0.9976,0.86,10.6,7
0.2,0.343,0.9979,0.71,10.5,5
0.55,0.091,0.9994,0.64,10.3,6
0.36,0.098,0.9964,0.6,10.1,6
0.34,0.094,1.0014,0.81,9.5,6
0.5,0.073,1.0001,0.64,9.5,5
0.83,0.086,0.9981,0.52,9.9,5
0.63,0.083,0.99855,0.73,9.6,5
0.65,0.094,0.9993,0.8,9.7,5
0.67,0.08,0.99845,0.71,9.6,5
0.53,0.086,0.9965,0.59,10.7,6
0.18,0.068,0.9973,0.64,10.1,6
0.705,0.092,0.9994,0.72,10.0,5
0.67,0.186,0.996,0.54,9.5,5
0.65,0.112,0.9973,0.52,9.2,5
0.53,0.063,0.9998,0.59,9.3,6
0.62,0.082,0.9966,0.52,9.4,5
0.41,0.213,0.9994,0.62,9.5,6
0.43,0.214,0.9994,0.63,9.5,6
0.29,0.062,0.9968,0.53,9.5,6
0.53,0.063,0.9998,0.59,9.3,6
0.53,0.072,0.996,0.54,9.4,6
0.46,0.093,0.99815,0.63,9.5,6
0.47,0.076,0.9976,0.53,9.4,5
0.36,0.087,0.99645,0.68,11.0,5
0.35,0.096,0.9962,0.65,11.0,6
0.56,0.102,0.9996,0.65,10.1,5
0.77,0.082,0.99865,0.64,10.4,6
0.66,0.083,0.9989,0.71,11.5,7
0.77,0.082,0.99865,0.64,10.4,6
0.66,0.083,0.9989,0.71,11.5,7
0.61,0.09,0.99975,0.62,9.7,5
0.62,0.079,0.99735,0.63,9.3,5
0.59,0.09,0.999,0.7,9.5,6
0.49,0.071,1.0015,0.69,9.2,6
0.49,0.071,1.0015,0.69,9.2,6
